REP_PERIOD,FUND_TYP,COD_BUDGET,COD_FINA,NAME_FIN,ZAT_AMT,FAKT_AMT,CITY
2021-01-31,S,2.5559e+10,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",0,-67783000,Chernihiv
2021-01-31,C,2.5559e+10,601100,"Повернення бюджетних коштів з депозитів, надходження внаслідок продажу/пред'явлення цінних паперів",300000000,0,Chernihiv
2021-01-31,T,2.5559e+10,601200,"Розміщення бюджетних коштів на депозитах, придбання цінних паперів",-825000000,-67783000,Chernihiv
2021-01-31,C,2.5559e+10,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",-589466044,-74912663.27,Chernihiv
2021-01-31,S,2.5559e+10,400000,Фінансування за борговими операціями,-2821991,0,Chernihiv
2021-01-31,T,2.5559e+10,402200,Зовнішні зобов'язання,-2821991,0,Chernihiv
2021-01-31,S,2.5559e+10,402202,Середньострокові зобов'язання,-2821991,0,Chernihiv
2021-01-31,S,2.5559e+10,600000,Фінансування за активними операціями,589466044,4815090.33,Chernihiv
2021-01-31,T,2.5559e+10,601000,"Зміни обсягів депозитів і цінних паперів, що використовуються для управління ліквідністю",0,-67783000,Chernihiv
2021-01-31,T,2.5559e+10,601100,"Повернення бюджетних коштів з депозитів, надходження внаслідок продажу/пред'явлення цінних паперів",825000000,0,Chernihiv
2021-01-31,C,2.5559e+10,601210,Розміщення бюджетних коштів на депозитах,-300000000,0,Chernihiv
2021-01-31,C,2.5559e+10,602100,На початок періоду,0,40398249.99,Chernihiv
2021-01-31,T,2.5559e+10,602304,Інші розрахунки,0,7876826.09,Chernihiv
2021-01-31,S,2.5559e+10,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",589466044,74912663.27,Chernihiv
2021-01-31,T,2.5559e+10,400000,Фінансування за борговими операціями,-2821991,0,Chernihiv
2021-01-31,S,2.5559e+10,402000,Погашення,-2821991,0,Chernihiv
2021-01-31,C,2.5559e+10,600000,Фінансування за активними операціями,-589466044,-87774053.18,Chernihiv
2021-01-31,C,2.5559e+10,601110,Повернення бюджетних коштів з депозитів,300000000,0,Chernihiv
2021-01-31,S,2.5559e+10,602100,На початок періоду,0,12052069.09,Chernihiv
2021-01-31,T,2.5559e+10,602100,На початок періоду,0,52450319.08,Chernihiv
2021-01-31,T,2.5559e+10,402000,Погашення,-2821991,0,Chernihiv
2021-01-31,S,2.5559e+10,601200,"Розміщення бюджетних коштів на депозитах, придбання цінних паперів",-525000000,-67783000,Chernihiv
2021-01-31,S,2.5559e+10,601210,Розміщення бюджетних коштів на депозитах,-525000000,-67783000,Chernihiv
2021-01-31,T,2.5559e+10,601210,Розміщення бюджетних коштів на депозитах,-825000000,-67783000,Chernihiv
2021-01-31,T,2.5559e+10,602000,Зміни обсягів бюджетних коштів,0,-15175962.85,Chernihiv
2021-01-31,C,2.5559e+10,602200,На кінець періоду,0,53259639.9,Chernihiv
2021-01-31,S,2.4552e+10,401201,Довгострокові зобов'язання,65550000,0,Chernivtsi
2021-01-31,C,2.4552e+10,602200,На кінець періоду,0,246848011.79,Chernivtsi
2021-01-31,S,2.4552e+10,602304,Інші розрахунки,0,19140961.78,Chernivtsi
2021-01-31,C,2.4552e+10,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",-168437200,-7296348.69,Chernivtsi
2021-01-31,S,2.4552e+10,602400,"Кошти, що передаються із загального фонду бюджету до бюджету розвитку (спеціального фонду)",168437200,7296348.69,Chernivtsi
2021-01-31,S,2.4552e+10,400000,Фінансування за борговими операціями,27716700,0,Chernivtsi
2021-01-31,S,2.4552e+10,401200,Зовнішні запозичення,65550000,0,Chernivtsi
2021-01-31,S,2.4552e+10,402200,Зовнішні зобов'язання,-37833300,0,Chernivtsi
2021-01-31,T,2.4552e+10,402200,Зовнішні зобов'язання,-37833300,0,Chernivtsi
2021-01-31,C,2.4552e+10,601100,"Повернення бюджетних коштів з депозитів, надходження внаслідок продажу/пред'явлення цінних паперів",131000000,36115000,Chernivtsi
2021-01-31,T,2.4552e+10,601100,"Повернення бюджетних коштів з депозитів, надходження внаслідок продажу/пред'явлення цінних паперів",185023799,36139470,Chernivtsi
2021-01-31,S,2.4552e+10,601110,Повернення бюджетних коштів з депозитів,54023799,24470,Chernivtsi
2021-01-31,S,2.4552e+10,601200,"Розміщення бюджетних коштів на депозитах, придбання цінних паперів",-54023799,-54023799,Chernivtsi
2021-01-31,C,2.4552e+10,601210,Розміщення бюджетних коштів на депозитах,-131000000,-131000000,Chernivtsi
2021-01-31,S,2.4552e+10,601210,Розміщення бюджетних коштів на депозитах,-54023799,-54023799,Chernivtsi
2021-01-31,C,2.4552e+10,602300,Інші розрахунки,0,-6671.03,Chernivtsi
2021-01-31,T,2.4552e+10,602304,Інші розрахунки,0,19134290.75,Chernivtsi
2021-01-31,C,2.4552e+10,600000,Фінансування за активними операціями,-168080200,-62796420.33,Chernivtsi
2021-01-31,T,2.4552e+10,601210,Розміщення бюджетних коштів на депозитах,-185023799,-185023799,Chernivtsi
2021-01-31,S,2.4552e+10,602000,Зміни обсягів бюджетних коштів,168437200,56534913.07,Chernivtsi
2021-01-31,T,2.4552e+10,602200,На кінець періоду,0,267084504.65,Chernivtsi
